全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,所在地_全国地方公共団体コード,町字ID,所在地,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,郵便番号,法人番号,団体名,月曜日,火曜日,水曜日,木曜日,金曜日,土曜日,日曜日,祝日,利用可能日時特記事項,小児対応設備の有無,URL
382027,87,愛媛県今治市,波方公園運動場武道場,ナミカタコウエンウンドウジョウブドウジョウ,382027,154000,愛媛県今治市波方町樋口乙730,愛媛県,今治市,波方町樋口,乙730,,34.104177,132.9501,,,玄関ロビー,,,7992102,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357018
382027,88,愛媛県今治市,波方公園運動場庭球場,ナミカタコウエンウンドウジョウテイキュウジョウ,382027,154000,愛媛県今治市波方町樋口乙730,愛媛県,今治市,波方町樋口,乙730,,34.104206,132.95016,,,武道場事務所内,,,7992102,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357017
382027,89,愛媛県今治市,今治育成園,イマバリイクセイエン,382027,183000,愛媛県今治市町谷746,愛媛県,今治市,町谷,746,,34.01111,133.00651,,,玄関内,,,7991514,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357056
382027,90,愛媛県今治市,しまなみアースランド(今治西部丘陵公園),シマナミアースランド(イマバリセイブキュウリョウコウエン),382027,84002,愛媛県今治市高地町二丁目乙429-1,愛媛県,今治市,高地町二丁目,乙429-1,,34.07317,132.97252,,,学習棟入口左,,,7940051,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357055
382027,91,愛媛県今治市,今治エコステーション,イマバリエコステーション,382027,183000,愛媛県今治市町谷甲475-1,愛媛県,今治市,町谷,甲475-1,,34.02088,133.00129,,,事務所内,,,7991514,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357054
382027,92,愛媛県今治市,伯方農村環境改善センター,ハカタノウソンカンキョウカイゼンセンター,382027,167000,愛媛県今治市伯方町北浦2174-1,愛媛県,今治市,伯方町北浦,2174-1,,34.22623,133.09475,階数,1,1階正面玄関,,,7942304,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357053
382027,93,愛媛県今治市,今治市さざなみ園,イマバリシサザナミエン,382027,38000,愛媛県今治市大三島町宮浦336,愛媛県,今治市,大三島町宮浦,336,,34.24952,133.00231,階数,1,1階 玄関内,,,7941304,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357052
382027,94,愛媛県今治市,今治市ひよこ園,イマバリシヒヨコエン,382027,9004,愛媛県今治市石井町四丁目3-53,愛媛県,今治市,石井町四丁目,3-53,,34.08528,132.98531,階数,1,1階 職員室内の医務室,,,7940006,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357051
382027,95,愛媛県今治市,大翔苑,ダイショウエン,382027,38000,愛媛県今治市大三島町宮浦1609,愛媛県,今治市,大三島町宮浦,1609,,34.25687,133.01763,,,エントランスホール正面,,,7941304,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357050
382027,96,愛媛県今治市,伯方斎場,ハカタサイジョウ,382027,168000,愛媛県今治市伯方町木浦1003-2,愛媛県,今治市,伯方町木浦,1003-2,,34.20393,133.10681,,,待合棟待合ロビー右壁面,,,7942305,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357049
382027,97,愛媛県今治市,ふじさき苑,フジサキエン,382027,215000,愛媛県今治市吉海町仁江3217,愛媛県,今治市,吉海町仁江,3217,,34.14648,133.04751,,,エントランスホール正面,,,7942104,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357048
382027,98,愛媛県今治市,燧風苑,スイフウエン,382027,203001,愛媛県今治市山方町一丁目45,愛媛県,今治市,山方町一丁目,45,,34.06544,132.98026,,,エントランスホール左奥壁面,,,7940053,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357047
382027,99,愛媛県今治市,今治市岩田健母と子のミュージアム,イマバリシイワタケンハハトコノミュージアム,382027,39000,愛媛県今治市大三島町宗方5208-2,愛媛県,今治市,大三島町宗方,5208-2,,34.19455,132.95412,,,手洗い場下,,,7941309,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357046
